Point,Description,ExtendedID,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_E3.106E_1C,SULLIVANT ELEC 1,106E_1C,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_RT.106S_C,SULLIVANT STEAM CONSUM,,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_RT.106S_DP,SULLIVANT STEAM DP,,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_RT.106S_HF,SULLIVANT STM HEAT FLOW,106S_HF,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_RT.106S_HGT,SULLIVANT STM HEAT GRAND,106S_HGT,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_RT.106S_I,SULLIVANT STEAM FLOW RAT,,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_RT.106S_P,SULLIVANT STEAM PRESSURE,,,,,,,,,,,,,,,,,,,,,
OSU_RTS.MDBUS_RT.106S_T,SULLIVANT STEAM TEMP,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
